ID,Link,name,scores,comments_30days,rate_30days,comments,rate,date,developer,languages,price,tags,metalink,criticScores,userScores,scoreList,reviewList
730,https://store.steampowered.com/app/730/,Counter-Strike: Global Offensive,83.0,"137,686",89.0,"5,175,016",88.0,2012年8月21日,Valve,28.0,0.0,"['第一人称射击', '射击', '多人', '竞技', '动作', '团队导向', '电竞', '战术', '第一人称视角', '玩家对战', '在线合作', '合作', '策略', '军事', '战争', '困难', '贸易', '拟真', '快节奏', '可模组化']",https://www.metacritic.com/game/pc/counter-strike-global-offensive?ftag=MCD-06-10aaa1f,83.0,7.3,82.71428571428571,may lack some community beloved maps anyone?) little features past games global offensive delivers promise faithful polished better looking counter-strike whoever wants even if community doesnt meet golden standard 16 source cs:go will remain multiplayer classic those willing put time learn maps weapons cs: go stands glowing reminder quality design rewarded longevity variety valve has not only updated shooter has completely outclassed contemporaries counter-strike whatever format choose play there isnt higher recommendation than at end what matters not if cs:go innovative or more same than cs: source what counts if fun cs:go couldnt better regard quotation forthcoming when comes down counter-strike: global offensive may follow same old formula gameplay seen previous versions counter-strike still well-rounded tactical shooter may not try anything drastically different or revolutionize series by taking new direction theres still enough there appeal newbies hardcore fans alike modern shooters do their job well counter-strike series helped build scene at $15 global offensive great extension legacy global offensive takes no chances hard tell who was made source 16 players will feel at home tried true cs mechanics traditional modes go gives them few reasons other than flashy graphics few old maps conversely newcomers series will find steep learning curve rather discouraging 
1091500,https://store.steampowered.com/app/1091500/,赛博朋克 2077,86.0,"310,353",79.0,,,2020年12月9日,CD PROJEKT RED,18.0,298.0,"['赛博朋克', '开放世界', '角色扮演', '未来', '科幻', '单人', '第一人称射击', '第一人称视角', '氛围', '探索', '色情内容', '剧情丰富', '裸露', '成人', '动作', '暴力', '好评原声音轨', '动作角色扮演', '冒险', '沉浸式模拟']",https://www.metacritic.com/game/pc/cyberpunk-2077?ftag=MCD-06-10aaa1f,86.0,7.2,84.28571428571429,magnificent confident loaded content other games do not offer such action blast called cyberpunk 2077 all expectations were more than met issue#308 cyberpunk 2077 celebration entire medium marrying cutting-edge technical innovation user agency authentic immersive experience transports another universe no has executed promise gaming like cyberpunk 2077 cd projekt artistic achievement cannot impressive array bugs glitches cyberpunk 2077 remains experience without peer no punches pulled no are given no compromises are made cyberpunk 2077 industry simply put may never right now without hesitation i am overjoyed say cyberpunk 2077 everything ive ever wanted from best i have ever played most important thing everyone needs know about cyberpunk 2077 while it’s imperfect without doubt superb problem when works works when doesn’t really doesn’t luckily game’s low points like horrible binary stealth system bugs lack are either or vastly by good bits overall still ends up being much higher than average many other games out there that’s helped lot by moment-to-moment gameplay which pays off just much story movement system lets climb almost any short object vehicles are weighty drive have fantastic interior exterior designs guns feel properly loud heavy it’s story narrative kept me glued screen everything – from sex scenes romance options trying kill or help throughout – are remarkably well done cyberpunk 2077 crafted love remarkably well-executed open world whose great heights exceed profound depths cyberpunk 2077 feels like constant emotional elevator endowed moment grace capable making lasting mark players industry general prospects deep approaches which only reveal themselves according your investment incredible staging writing thats flawless jaw-dropping lovingly crafted cd rpg striking lack finish which often hard excuse clunky actions broken quests aside it’s still nearly impossible not get hooked cyberpunk 2077 more specifically night city i’ve completed quests made me physically uncomfortable yearn justice or vengeance alongside affected characters i’ve crafted my version v into exactly kind character i’d want knowledge there will always option fits my preferences plentiful possibilities outcomes beg multiple playthroughs i’m happy later after break from night city after things have been cleaned up bit running time littered familiar problems zero interest their design cluttered failings hundred other safe familiar failings medium can’t cd projekt specifically are nevertheless embraced something feels like i sigh carry ending my choice looking vain actual cyberpunk sprawl contrived bland sci-fi 
271590,https://store.steampowered.com/app/271590/,Grand Theft Auto V,96.0,"28,507",91.0,"894,914",81.0,2015年4月14日,Rockstar North,13.0,119.0,"['开放世界', '动作', '多人', '汽车模拟', '犯罪', '第三人称视角', '第一人称视角', '射击', '冒险', '成人', '单人', '第三人称射击', '竞速', '氛围', '合作', '沙盒', '欢乐', '好评原声音轨', '喜剧', '可模组化']",https://www.metacritic.com/game/pc/grand-theft-auto-v?ftag=MCD-06-10aaa1f,96.0,7.8,94.0,after long wait pc-gamers get what they have been hoping we cannot deny it; pc best way experience gta v rockstar optimised perfectly we are happy start our third forth sure rockstar social club annoying jump through hardware poses problems some those hardware run gta v serves testament pc platforms superiority reminder good things come those wait if hadn’t had chance play yet at all though your computer can handle pc version does definitely feel like definitive version gta v pc ultimate version one greatest games history best open-world will play until advent gta vi or 2 gta v pc graphically beautiful runs like butter rockstar told us pc-version would ultimate version they were right gta 5 pc looks incredible works almost perfectly sadly might still encounter some bugs glitches gta online already saw consoles if was more fully devoted being either comedy or drama narrative may have been more successful most fun had comes almost entirely from moments when player breaks away from mission structure enjoys world without worrying about context plot 
1145360,https://store.steampowered.com/app/1145360/,Hades,93.0,"17,013",98.0,"103,532",98.0,2020年9月17日,Supergiant Games,10.0,80.0,"['动作类 Rogue', '动作', '独立', '角色扮演', '轻度 Rogue', '砍杀', '好评原声音轨', '单人', '迷宫探索', '类 Rogue', '神话', '剧情丰富', '重玩价值', '等角', '动作角色扮演', '困难', '手绘', '氛围', '恋爱模拟', '永久死亡']",https://www.metacritic.com/game/pc/hades?ftag=MCD-06-10aaa1f,93.0,8.9,92.85714285714286,whenever i stopped playing all i could think about was how i was going handle my next run i’d think about gods i should look characters i wanted learn about i’d think about next weapon i should try how frustrating certain boss was then i’d sit down play again losing myself world i could consistently feel myself getting better at once i still think about first time i fully completed run beating final boss feeling accomplishment something celebrated appreciated hades near perfect offering exactly what expect yet somehow exceeding your expectations from art design gameplay narrative hades proof incredible creative power supergiant games have been honing last nine years hades everything great about roguelite genre all perfected few games aim high fewer still reach their goals hades does exceeding even expectations hades roguelite masterpiece intriguing premise charismatic characters tons collectibles one most dynamic creative combat system around will probably standard roguelite games will following years or should at any rate if nothing else hades easily best supergiant have made date hades takes hated cycle same checkpoint over over again flips head rewarding progression makes player genuinely look forward starting over new abilities upgrades there’s around eight different forms in-game currency alone enough upgrades modifiers give even headache trying track all variables however once fall under spell after couple runs near limitless combinations character builds becomes bewitching 
1174180,https://store.steampowered.com/app/1174180/,Red Dead Redemption 2,93.0,"8,047",91.0,"135,380",83.0,2019年12月5日,Rockstar Games,13.0,249.0,"['冒险', '开放世界', '动作', '西部', '剧情丰富', '多人', '射击', '拟真', '第三人称射击', '单人', '氛围', '马匹', '唯美', '沙盒', '好评原声音轨', '第三人称视角', '成人', '第一人称视角', '血腥', '第一人称射击']",https://www.metacritic.com/game/pc/red-dead-redemption-2?ftag=MCD-06-10aaa1f,93.0,5.9,92.57142857142857,after long wait finally rockstar fans can play one finest games generation red dead redemption 2 those hardware capable running best western gaming experience we could ever have hoped red dead redemption 2 masterpiece no other has ever tried succeeded capture sense time place long gone while also blending social commentary so well addition multiplayer mode thats real step up from rockstars last effort makes red dead redemption 2 unmissable pc absorbing tale will test your machine tear did not suffer from being brought pc worth overcoming all shortcomings since one best games decade issue#300 it’s not perfect pc version one greatest games generation definitely sight behold even some room improvement pc players will enjoy making most their hardware rockstar’s latest title huge full unprecedented detail atmosphere wild west simply has no equal pc port isn’t perfect by any means especially regarding mouse keyboard controls clunky interface epic masterpiece modern gaming whose pc launch unfortunately marred by potentially serious technical issues pc release red dead redemption 2 without doubt visually breathtaking behold wide range issues at launch sour experience revisiting rockstar’s captivating western 
252490,https://store.steampowered.com/app/252490/,Rust,,"15,885",90.0,"408,200",85.0,2018年2月8日,Facepunch Studios,25.0,116.0,"['生存', '制作', '多人', '开放世界', '开放世界生存制作', '建造', '沙盒', '玩家对战', '冒险', '第一人称视角', '动作', '第一人称射击', '裸露', '合作', '射击', '在线合作', '独立', '抢先体验', '末日', '模拟']",https://www.metacritic.com/game/pc/rust?ftag=MCD-06-10aaa1f,69.0,6.3,70.57142857142857,rust goes where no other survival has provides incredibly threatening experience like car accident equal parts horrifying mystifying rust brutal intense often sadistically punishing hell great potential new look rust malicious experience rife betrayal cruelty greed can make both frustrating sublime equal doses rust still addictive was maybe because early success we expected more from case can disappointed still needs polished improved at core rust great crafting survival competitive players who want mix survival crafting rust best there everyone else there are plenty other games survival gamers resistant frustration weaknesses construction discovery lack survival depth inclination only reward time served instead clever play whatever life might have had give 
582010,https://store.steampowered.com/app/582010/,Monster Hunter: World,88.0,"4,495",90.0,"175,958",84.0,2018年8月9日,"CAPCOM Co., Ltd.",13.0,203.0,"['合作', '多人', '动作', '开放世界', '角色扮演', '第三人称视角', '角色定制', '冒险', '奇幻', '单人', '困难', '动作角色扮演', '探索', '好评原声音轨', '重玩价值', '氛围', '砍杀', '日系角色扮演', '类魂系列', '大型多人在线角色扮演']",https://www.metacritic.com/game/pc/monster-hunter-world?ftag=MCD-06-10aaa1f,88.0,6.8,87.42857142857143,capcom perfected combat formula over countless releases wasn’t until monster hunter: world they stripped away what ultimately was never much fun begin spend less time spent preparing more time actually fighting sales figures suggest we all expected capcom really had something special sitting under all bloat monster hunter world one best games year shines brightly pc amazing level monster design combat gameplay systems monster hunter: world undoubtedly best monster hunter after spending well over hundred hours outside campaign i think my original review score was actually little low monster hunter: world still incredible pc release can only considered definitive relatively small number power users while everyone recent pc decent graphics card can make work many players best experience may still console monster hunter world captivates thrilling boss fights variety weapons pc port could have been technically better arriving eight months late pc everything can said about monster hunter world already has done rest assured though wait was indeed worth anyone looking deep action they can potentially invest hundreds hours into need look no further monster hunter back better than ever been before monster hunter: world still has all complexity expected from series dishes out much more palatable chunks than usual still got frightening amount depth feels manageable way few series have pulled off before players may still feel little lost from time time little guidance from series vets or other friends can drastically reduce growing pains new players will likely experience top all one titles series has had so saddle up some friends explore all new world has offer not worst console port i have seen surely isnt best one only real flaw pc version monster hunter world buggy multiplayer mode everything else works just fine deserves some attention - after all one most captivating adventures virtual world ever 
1085660,https://store.steampowered.com/app/1085660/,Destiny 2,83.0,"12,157",82.0,"326,972",86.0,2019年10月1日,Bungie,13.0,0.0,"['玩家对战', '玩家对战环境', '刷宝射击游戏', '开放世界', '第一人称射击', '竞技', '大型多人在线角色扮演', '射击', '第一人称视角', '故事架构丰富 ', '科幻', '动作', '太空', '寻宝', '氛围', '合作', '冒险', '免费', '过场动画', '大型多人在线']",https://www.metacritic.com/game/pc/destiny-2?ftag=MCD-06-10aaa1f,83.0,4.2,84.0,pc without doubt definitive way play destiny 2 if have system can handle what demands now has launched across board updates new content will available all platforms at once so pc players don’t have worry about being left behind long bungie continues support ensure pc community isn’t ignored favor ps4 or xbox one family systems destiny 2 i will playing years come though held back by severe lack social options sandbox tuning destiny 2 pc looks feels like best version one best games 2017 pc version destiny 2 replicates amazing gunplay first known visuals are gorgeous environments are so expansive there hours worth exploring done there huge amount content keep players entertained almost all can replayed worthwhile rewards gained title lives up predecessor has surpassed almost every way those looking casual shooter great story or those who want challenge themselves raids competitive pvp title caters wide audience making great experience all-round destiny 2 excellent consoles best version co-op fps by nature by being structured marketed mmo destiny 2 unavoidably gets compared games from both genres mmo side simply insufficient due lack content if bungie could adopt model would have simply been just expansion first one they are close each other world warcraft expansions are each other however from fps standpoint destiny 2 ticking many boxes correct core mechanisms has juicy gameplay worthwhile title should have been bit more ambitious design pc gamers worry they missed first superior endless loops addiction feel far more honest rewarding than flawed original all elements are there: you’re gunning down massive hordes baddies you’re doing so outstanding visual fidelity variety weapons you’re able cause mayhem using big explosive abilities bit too much destiny 2’s action watered down by long lazy until you’re again way enemies completely lose their ability aim once your health hits portion on-screen life bar stakes always seem so low rewards so random barely earned it’s not bad it’s not one lives up lofty expectations set by way it’s marketed talked about by wide inch destiny 2 not should 
578080,https://store.steampowered.com/app/578080/,PLAYERUNKNOWN'S BATTLEGROUNDS,86.0,"20,327",52.0,"1,364,136",52.0,2017年12月21日,"KRAFTON, Inc.",17.0,98.0,"['生存', '射击', '多人', '大逃杀', '第一人称射击', '玩家对战', '第三人称射击', '动作', '在线合作', '战术', '合作', '第一人称视角', '策略', '抢先体验', '竞技', '第三人称视角', '团队导向', '困难', '模拟', '潜行']",https://www.metacritic.com/game/pc/playerunknowns-battlegrounds?ftag=MCD-06-10aaa1f,86.0,4.7,85.57142857142857,playerunknowns battlegrounds success will have surprised even developers shooter didnt invent battle royale genre gaming which certainly perfected point found massive massive audience more than 30 million copies sold pubg bona fide phenomenon influence will felt industry years come battlegrounds most immersive intense adrenaline-pumping shooter time forth new era battle royale gameplay technical qualms are only thing standing way path near perfection gunplay gameplay pubg lives up large reputation issue#197 p74 pubg has managed create experiences cant find anywhere else (or at least needs improve some aspects polish some things become legend foundations are already very very good time being playerunknowns battlegrounds won - pun intended - battle royale battle royales new gold rush spawned good number decent titles one created by greene if by far best funniest play (even if theres still room whether play solo or group successfully executing adaptive tactics win intense firefights makes incredibly rewarding experience every player has unique stories their most memorable matches even after hundreds hours pubg continues inspire rousing tales victory defeat i have faith such large following (and cash pubg team will eventually get things squared away now still feels like early access however playerunknowns battlegrounds absolute blast play has broad appeal few other games can match long temper your expectations (and make sure have decent pc) then one top games 2017 check out 
289070,https://store.steampowered.com/app/289070/,Sid Meier’s Civilization® VI,88.0,"2,962",89.0,"97,553",83.0,2016年10月20日,Firaxis Games,12.0,199.0,"['策略', '回合战略', '历史', '多人', '单人', '回合制', '大战略', '4X', '战争', '模拟', '战术', '城市营造', '好评原声音轨', '可模组化', '在线合作', '建造', '合作', '管理', '六角格棋盘', '氛围']",https://www.metacritic.com/game/pc/sid-meiers-civilization-vi?ftag=MCD-06-10aaa1f,88.0,7.0,84.71428571428571,although it’s not without flaws sixth civilization brings lot outstanding news makes mark into history series crucial point break slightly new form good old #269 astounding civilization has always been associated benchmark strategy gaming civilization vi now at peak good gets addictive strategy masterpiece more freedom personalization complexity meaningful choices than ever best things are improved difficulty different victory conditions city management historic characters roles civ 6 has few rough edges they’re pushed far into by spectacular strategic depth intricate interlocking nuances any frustrations i experienced were immediately eclipsed by my desire continue playing just one more turn every turn forever civ vi has improved upon nearly every system mechanic at no real cost experience easiest civ play also most complex civ date theres enough default automation can ignore lot minutia if want like myself will still have all tedium they can dream theres nothing quite satisfying every single aggressive neighbors civilization civilization 6 core gameplay has not changed additions developer made only contribute excitement challenge civilization 6 worthy successor franchise it’s not my place second guess design know go civilization have not might want or wish have at later time my place note when i go civilization i’m looking more than just laid back single-player cities builder ai idly margins i cut my teeth sid meier’s grand strategy without brain-dead tactical layer over top i admire lot what firaxis doing move from mess civilization v they’re headed right direction even if they are dragging lot baggage 
